x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
573636609,1,0,0,0,1,0,0,0,3,0,1,0,18,0,1,0,0,0,0,4294967294,3,20,0,0,x,4,31
577961985,1,0,0,0,1,0,0,1,1,0,1,17,17,0,1,1,0,0,0,1,3,18,0,0,x,4294967294,20
577961985,1,0,0,0,1,0,0,12,12,0,1,19,19,0,1,1,0,0,0,2,1,17,1,0,x,1,18
577961985,1,0,0,0,1,0,0,12,12,0,1,19,19,0,1,1,0,0,0,13,12,19,1,0,x,2,17
575799297,1,0,0,0,1,0,0,12,12,0,1,19,19,0,1,1,0,0,0,14,13,19,1,0,x,13,19
307560440,1,0,0,0,1,0,0,1,1,0,1,18,18,0,1,1,0,0,0,15,14,19,1,0,x,14,19
307560440,0,0,0,0,0,1,0,1,3,31,4294967288,18,20,31,56,1,0,0,0,2,1,18,1,0,x,15,19
134217738,0,0,0,0,0,0,1,1,3,31,4294967288,18,20,31,56,0,0,0,0,5,3,31,1,0,x,2,18
0,0,x,0,0,x,x,X,0,0,0,10,0,0,0,10,0,0,0,0,4294967295,3,20,0,0,x,5,31
577961985,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,x,4294967295,20
577961985,1,0,0,0,1,0,0,15,15,0,1,19,19,0,1,1,0,0,0,0,0,0,0,x,x,0,0
577961985,1,0,0,0,1,0,0,15,15,0,1,19,19,0,1,1,0,0,0,16,15,19,1,0,x,0,0
575799297,1,0,0,0,1,0,0,15,15,0,1,19,19,0,1,1,0,0,0,17,16,19,1,0,x,16,19
307560440,1,0,0,0,1,0,0,2,2,0,1,18,18,0,1,1,0,0,0,18,17,19,1,0,x,17,19
307560440,0,0,0,0,0,1,0,2,3,31,4294967288,18,20,31,56,1,0,0,0,3,2,18,1,0,x,18,19
0,0,0,0,0,0,0,1,2,3,31,4294967288,18,20,31,56,0,0,0,0,6,3,31,1,0,x,3,18
305463292,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,x,6,31
538050561,0,0,0,0,0,0,1,2,3,31,4294967292,17,20,31,60,1,0,0,0,0,0,0,0,0,x,0,20
573636609,1,0,0,0,1,0,0,0,3,0,1,0,18,0,1,0,0,0,0,4294967295,3,20,1,0,x,0,0
577961985,1,0,0,0,1,0,0,2,2,0,1,17,17,0,1,1,0,0,0,1,3,18,0,0,x,4294967295,20
577961985,1,0,0,0,1,0,0,18,18,0,1,19,19,0,1,1,0,0,0,3,2,17,1,0,x,1,18
577961985,1,0,0,0,1,0,0,18,18,0,1,19,19,0,1,1,0,0,0,19,18,19,1,0,x,3,17
575799297,1,0,0,0,1,0,0,18,18,0,1,19,19,0,1,1,0,0,0,20,19,19,1,0,x,19,19
307560440,1,0,0,0,1,0,0,1,1,0,1,18,18,0,1,1,0,0,0,21,20,19,1,0,x,20,19
307560440,0,0,0,0,0,1,0,1,3,31,4294967288,18,20,31,56,1,0,0,0,2,1,18,1,0,x,21,19
134217738,0,0,0,0,0,0,1,1,3,31,4294967288,18,20,31,56,0,0,0,0,5,3,31,1,0,x,2,18
0,0,x,0,0,x,x,X,0,0,0,10,0,0,0,10,0,0,0,0,4294967295,3,20,0,0,x,5,31
577961985,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,x,4294967295,20
577961985,1,0,0,0,1,0,0,21,21,0,1,19,19,0,1,1,0,0,0,0,0,0,0,x,x,0,0
577961985,1,0,0,0,1,0,0,21,21,0,1,19,19,0,1,1,0,0,0,22,21,19,1,0,x,0,0
575799297,1,0,0,0,1,0,0,21,21,0,1,19,19,0,1,1,0,0,0,23,22,19,1,0,x,22,19
307560440,1,0,0,0,1,0,0,2,2,0,1,18,18,0,1,1,0,0,0,24,23,19,1,0,x,23,19
307560440,0,0,0,0,0,1,0,2,3,31,4294967288,18,20,31,56,1,0,0,0,3,2,18,1,0,x,24,19
0,0,0,0,0,0,0,1,2,3,31,4294967288,18,20,31,56,0,0,0,0,6,3,31,1,0,x,3,18
305463292,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,x,6,31
0,0,0,0,0,0,0,1,3,3,31,4294967292,17,20,31,60,1,0,0,0,0,0,0,0,0,x,0,20
303300619,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,1,0,x,0,0
0,0,0,0,0,0,0,1,3,3,0,11,16,20,0,11,1,0,0,0,0,0,0,0,0,x,0,20
x,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,1,0,x,0,0
x,0,0,0,0,0,0,0,x,x,x,0,x,x,x,x,1,0,0,0,0,0,0,0,0,x,0,20
x,0,0,0,0,0,0,0,x,x,x,0,x,x,x,x,0,0,0,0,x,x,x,1,0,x,0,0
x,0,0,0,0,0,0,0,x,x,x,0,x,x,x,x,0,0,0,0,x,x,x,0,0,x,x,x
x,0,0,0,0,0,0,0,x,x,x,0,x,x,x,x,0,0,0,0,x,x,x,0,0,x,x,x
x,0,0,0,0,0,0,0,x,x,x,0,x,x,x,x,0,0,0,0,x,x,x,0,0,x,x,x
x,0,0,0,0,0,0,0,x,x,x,0,x,x,x,x,0,0,0,0,x,x,x,0,0,x,x,x
